Time,Node,X,Y,Z,Speed,Latitude,Longitude,Altitude
+4.9e+11ns,1,5.99859e+06,157079,2.14054e+06,10.0142:0:-6.37097e+06,19.6322,1.5,3
+4.95e+11ns,0,5.03269e+06,3.95361e+06,1.88235e+06,6225.36:-1494.06:-6.37533e+06,16.3897,38.1527,300000
+4.95e+11ns,1,5.99854e+06,157077,2.14068e+06,10.0142:0:-6.37097e+06,19.6335,1.5,3
+5e+11ns,0,5.00847e+06,3.98795e+06,1.87449e+06,6195.86:-1507.26:-6.37537e+06,16.3194,38.5283,300000
+5e+11ns,1,5.99849e+06,157076,2.14082e+06,10.0142:0:-6.37097e+06,19.6349,1.5,3
+5.05e+11ns,0,4.98404e+06,4.02213e+06,1.86657e+06,6166.11:-1520.41:-6.37541e+06,16.2485,38.9036,300000
+5.05e+11ns,1,5.99844e+06,157075,2.14096e+06,10.0142:0:-6.37097e+06,19.6362,1.5,3
+5.1e+11ns,0,4.9594e+06,4.05614e+06,1.85857e+06,6136.11:-1533.5:-6.37544e+06,16.177,39.2787,300000
+5.1e+11ns,1,5.99839e+06,157073,2.1411e+06,10.0142:0:-6.37097e+06,19.6376,1.5,3
+5.15e+11ns,0,4.93456e+06,4.08998e+06,1.85051e+06,6105.86:-1546.54:-6.37548e+06,16.1049,39.6535,300000
+5.15e+11ns,1,5.99834e+06,157072,2.14124e+06,10.0142:0:-6.37097e+06,19.6389,1.5,3
+5.2e+11ns,0,4.90951e+06,4.12366e+06,1.84238e+06,6075.35:-1559.52:-6.37552e+06,16.0322,40.028,300000
+5.2e+11ns,1,5.99829e+06,157071,2.14138e+06,10.0142:0:-6.37097e+06,19.6403,1.5,3
+5.25e+11ns,0,4.88426e+06,4.15717e+06,1.83418e+06,6044.6:-1572.44:-6.37555e+06,15.959,40.4023,300000
+5.25e+11ns,1,5.99824e+06,157069,2.14152e+06,10.0142:0:-6.37097e+06,19.6416,1.5,3
+5.3e+11ns,0,4.8588e+06,4.1905e+06,1.82592e+06,6013.6:-1585.3:-6.37559e+06,15.8851,40.7763,300000
+5.3e+11ns,1,5.99819e+06,157068,2.14167e+06,10.0142:0:-6.37097e+06,19.643,1.5,3
+5.35e+11ns,0,4.83314e+06,4.22367e+06,1.81758e+06,5982.35:-1598.11:-6.37563e+06,15.8107,41.1501,300000
+5.35e+11ns,1,5.99814e+06,157067,2.14181e+06,10.0142:0:-6.37097e+06,19.6443,1.5,3
+5.4e+11ns,0,4.80728e+06,4.25666e+06,1.80918e+06,5950.85:-1610.86:-6.37566e+06,15.7358,41.5236,300000
+5.4e+11ns,1,5.99809e+06,157065,2.14195e+06,10.0142:0:-6.37097e+06,19.6457,1.5,3
+5.45e+11ns,0,4.78122e+06,4.28948e+06,1.80072e+06,5919.11:-1623.54:-6.3757e+06,15.6602,41.8969,300000
+5.45e+11ns,1,5.99804e+06,157064,2.14209e+06,10.0142:0:-6.37097e+06,19.647,1.5,3
+5.5e+11ns,0,4.75496e+06,4.32211e+06,1.79218e+06,5887.13:-1636.17:-6.37573e+06,15.5841,42.2699,300000
+5.5e+11ns,1,5.99799e+06,157063,2.14223e+06,10.0142:0:-6.37097e+06,19.6484,1.5,3
+5.55e+11ns,0,4.7285e+06,4.35458e+06,1.78358e+06,5854.91:-1648.74:-6.37577e+06,15.5075,42.6426,300000
+5.55e+11ns,1,5.99794e+06,157062,2.14237e+06,10.0142:0:-6.37097e+06,19.6497,1.5,3
+5.6e+11ns,0,4.70185e+06,4.38686e+06,1.77492e+06,5822.44:-1661.25:-6.37581e+06,15.4302,43.0151,300000
