Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.213	41	0	102	-190.105
0.213	41	0	107	-219.588
0.213	61	0	101	-187
0.213	61	0	106	-228.194
0.213	67	0	109	-176.047
0.213	85	0	105	-196.679
0.213	111	0	104	-192.588
0.213	151	0	100	-190.705
0.213071	11	0	103	-220.774
0.213071	21	0	108	-191.464
0.213071	41	0	102	-190.105
0.213071	41	0	107	-219.588
0.213071	61	0	101	-187
0.213071	61	0	106	-228.194
0.213071	67	0	109	-176.047
0.213071	85	0	105	-196.679
0.213071	111	0	104	-192.588
0.213071	151	0	100	-190.705
0.213286	41	0	102	-190.105
0.213286	41	0	107	-219.588
0.213286	61	0	101	-187
0.213286	61	0	106	-228.194
0.215	11	0	103	-220.774
0.215	21	0	108	-191.464
0.215	41	0	102	-190.105
0.215	41	0	107	-219.588
0.215	61	0	101	-187
0.215	61	0	106	-228.194
0.215	67	0	109	-176.047
0.215	85	0	105	-196.679
0.215	111	0	104	-192.588
0.215	151	0	100	-190.705
0.218	11	0	103	-220.774
0.218071	11	0	103	-220.774
0.22	11	0	103	-220.774
0.22	21	0	108	-191.464
0.22	41	0	102	-190.105
0.22	41	0	107	-219.588
0.22	61	0	101	-187
0.22	61	0	106	-228.194
0.22	67	0	109	-176.047
0.22	85	0	105	-196.679
0.22	111	0	104	-192.588
0.22	151	0	100	-190.705
0.221	111	0	104	-192.588
0.222	41	0	102	-190.105
0.222	41	0	107	-219.588
0.223	11	0	103	-220.774
0.223	21	0	108	-191.464
0.223	41	0	102	-190.105
0.223	41	0	107	-219.588
0.223	61	0	101	-187
0.223	61	0	106	-228.194
0.223	67	0	109	-176.047
0.223	85	0	105	-196.679
0.223	111	0	104	-192.588
0.223	151	0	100	-190.705
0.223071	11	0	103	-220.774
0.223071	21	0	108	-191.464
0.223071	41	0	102	-190.105
0.223071	41	0	107	-219.588
0.223071	61	0	101	-187
0.223071	61	0	106	-228.194
0.223071	67	0	109	-176.047
0.223071	85	0	105	-196.679
0.223071	111	0	104	-192.588
0.223071	151	0	100	-190.705
0.223286	41	0	102	-190.105
0.223286	41	0	107	-219.588
0.223286	61	0	101	-187
0.223286	61	0	106	-228.194
0.225	11	0	103	-220.774
0.225	21	0	108	-191.464
0.225	41	0	102	-190.105
0.225	41	0	107	-219.588
0.225	61	0	101	-187
0.225	61	0	106	-228.194
0.225	67	0	109	-176.047
0.225	85	0	105	-196.679
0.225	111	0	104	-192.588
0.225	151	0	100	-190.705
0.227	67	0	109	-176.047
0.228	61	0	101	-187
0.228	61	0	106	-228.194
0.228071	61	0	101	-187
0.228071	61	0	106	-228.194
0.23	11	0	103	-220.774
0.23	21	0	108	-191.464
0.23	41	0	102	-190.105
0.23	41	0	107	-219.588
0.23	61	0	101	-187
0.23	61	0	106	-228.194
0.23	67	0	109	-176.047
0.23	85	0	105	-196.679
0.23	111	0	104	-192.588
0.23	151	0	100	-190.705
0.233	11	0	103	-220.774
0.233	21	0	108	-191.464
0.233	41	0	102	-190.105
0.233	41	0	107	-219.588
0.233	61	0	101	-187
0.233	61	0	106	-228.194
0.233	67	0	109	-176.047
0.233	85	0	105	-196.679
0.233	111	0	104	-192.588
0.233	151	0	100	-190.705
0.233071	11	0	103	-220.774
0.233071	21	0	108	-191.464
0.233071	41	0	102	-190.105
0.233071	41	0	107	-219.588
0.233071	61	0	101	-187
0.233071	61	0	106	-228.194
0.233071	67	0	109	-176.047
0.233071	85	0	105	-196.679
0.233071	111	0	104	-192.588
0.233071	151	0	100	-190.705
0.233214	41	0	102	-190.105
0.233214	41	0	107	-219.588
0.233286	61	0	101	-187
0.233286	61	0	106	-228.194
0.235	11	0	103	-220.774
0.235	21	0	108	-191.464
0.235	41	0	102	-190.105
0.235	41	0	107	-219.588
0.235	61	0	101	-187
0.235	61	0	106	-228.194
0.235	67	0	109	-176.047
0.235	85	0	105	-196.679
0.235	111	0	104	-192.588
0.235	151	0	100	-190.705
0.238	11	0	103	-220.774
0.238	61	0	101	-187
0.238	61	0	106	-228.194
0.238071	11	0	103	-220.774
0.238071	61	0	101	-187
0.238071	61	0	106	-228.194
0.24	11	0	103	-220.774
0.24	21	0	108	-191.464
0.24	41	0	102	-190.105
0.24	41	0	107	-219.588
0.24	61	0	101	-187
0.24	61	0	106	-228.194
0.24	67	0	109	-176.047
0.24	85	0	105	-196.679
0.24	111	0	104	-192.588
0.24	151	0	100	-190.705
0.243	11	0	103	-220.774
0.243	21	0	108	-191.464
0.243	41	0	102	-190.105
0.243	41	0	107	-219.588
0.243	61	0	101	-187
0.243	61	0	106	-228.194
0.243	67	0	109	-176.047
0.243	85	0	105	-196.679
0.243	111	0	104	-192.588
0.243	151	0	100	-190.705
0.243071	11	0	103	-220.774
0.243071	21	0	108	-191.464
0.243071	41	0	102	-190.105
0.243071	41	0	107	-219.588
0.243071	61	0	101	-187
0.243071	61	0	106	-228.194
0.243071	67	0	109	-176.047
0.243071	85	0	105	-196.679
0.243071	111	0	104	-192.588
0.243071	151	0	100	-190.705
0.243214	41	0	102	-190.105
0.243214	41	0	107	-219.588
0.243286	61	0	101	-187
0.243286	61	0	106	-228.194
