Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
0.293071	DL DCI Rxed	29	3	0	41	1	0	15	2
0.293071	DL DCI Rxed	29	3	0	41	2	0	15	2
0.293071	DL DCI Rxed	29	3	0	61	1	0	15	2
0.293071	DL DCI Rxed	29	3	0	61	2	0	15	2
0.293071	DL DCI Rxed	29	3	0	67	1	0	15	2
0.293071	DL DCI Rxed	29	3	0	85	1	0	15	2
0.293071	DL DCI Rxed	29	3	0	111	1	0	15	2
0.293071	DL DCI Rxed	29	3	0	151	1	0	15	2
0.295929	HARQ FD Txed	29	5	0	111	1	0	15	2
0.295929	HARQ FD Txed	29	5	0	67	1	0	15	2
0.295929	HARQ FD Txed	29	5	0	151	1	0	15	2
0.295929	HARQ FD Txed	29	5	0	21	1	0	15	2
0.295929	HARQ FD Txed	29	5	0	41	2	0	15	2
0.295929	HARQ FD Txed	29	5	0	85	1	0	15	2
0.295929	HARQ FD Txed	29	5	0	61	2	0	15	2
0.295929	HARQ FD Txed	29	5	0	11	1	0	15	2
0.295929	HARQ FD Txed	29	5	0	41	1	0	15	2
0.295929	HARQ FD Txed	29	5	0	61	1	0	15	2
